t,u_observed,u_pred,mu_pred,mu_true
0.000000e+00,2.002408e+00,1.477322e+00,5.097822e+00,1.000000e+00
2.506266e-03,1.988882e+00,1.476871e+00,5.097822e+00,1.000000e+00
5.012531e-03,1.962976e+00,1.476414e+00,5.097822e+00,1.000000e+00
7.518797e-03,1.967840e+00,1.475954e+00,5.097822e+00,1.000000e+00
1.002506e-02,1.991616e+00,1.475489e+00,5.097822e+00,1.000000e+00
1.253133e-02,1.969704e+00,1.475020e+00,5.097822e+00,1.000000e+00
1.503759e-02,1.981908e+00,1.474547e+00,5.097822e+00,1.000000e+00
1.754386e-02,1.864323e+00,1.474070e+00,5.097822e+00,1.000000e+00
2.005013e-02,1.928232e+00,1.473589e+00,5.097822e+00,1.000000e+00
2.255639e-02,1.855094e+00,1.473104e+00,5.097822e+00,1.000000e+00
2.506266e-02,1.887638e+00,1.472615e+00,5.097822e+00,1.000000e+00
2.756892e-02,1.824051e+00,1.472121e+00,5.097822e+00,1.000000e+00
3.007519e-02,1.750798e+00,1.471624e+00,5.097822e+00,1.000000e+00
3.258145e-02,1.795629e+00,1.471123e+00,5.097822e+00,1.000000e+00
3.508772e-02,1.748751e+00,1.470618e+00,5.097822e+00,1.000000e+00
3.759398e-02,1.645571e+00,1.470109e+00,5.097822e+00,1.000000e+00
4.010025e-02,1.638692e+00,1.469596e+00,5.097822e+00,1.000000e+00
4.260651e-02,1.614635e+00,1.469079e+00,5.097822e+00,1.000000e+00
4.511278e-02,1.513228e+00,1.468560e+00,5.097822e+00,1.000000e+00
4.761905e-02,1.634896e+00,1.468036e+00,5.097822e+00,1.000000e+00
5.012531e-02,1.567585e+00,1.467508e+00,5.097822e+00,1.000000e+00
5.263158e-02,1.392192e+00,1.466977e+00,5.097822e+00,1.000000e+00
5.513784e-02,1.426916e+00,1.466442e+00,5.097822e+00,1.000000e+00
5.764411e-02,1.427075e+00,1.465904e+00,5.097822e+00,1.000000e+00
6.015037e-02,1.304659e+00,1.465362e+00,5.097822e+00,1.000000e+00
6.265664e-02,1.333947e+00,1.464816e+00,5.097822e+00,1.000000e+00
6.516290e-02,1.216760e+00,1.464267e+00,5.097822e+00,1.000000e+00
6.766917e-02,1.163257e+00,1.463715e+00,5.097822e+00,1.000000e+00
7.017544e-02,1.157053e+00,1.463159e+00,5.097822e+00,1.000000e+00
7.268170e-02,1.069728e+00,1.462600e+00,5.097822e+00,1.000000e+00
7.518797e-02,9.615453e-01,1.462038e+00,5.097822e+00,1.000000e+00
7.769423e-02,8.915867e-01,1.461472e+00,5.097822e+00,1.000000e+00
8.020050e-02,9.799485e-01,1.460902e+00,5.097822e+00,1.000000e+00
8.270676e-02,8.078094e-01,1.460330e+00,5.097822e+00,1.000000e+00
8.521303e-02,7.587553e-01,1.459754e+00,5.097822e+00,1.000000e+00
8.771930e-02,6.924366e-01,1.459176e+00,5.097822e+00,1.000000e+00
9.022556e-02,6.489004e-01,1.458593e+00,5.097822e+00,1.000000e+00
9.273183e-02,6.262201e-01,1.458008e+00,5.097822e+00,1.000000e+00
9.523810e-02,4.641671e-01,1.457420e+00,5.097822e+00,1.000000e+00
9.774436e-02,4.275935e-01,1.456828e+00,5.097822e+00,1.000000e+00
1.002506e-01,3.633662e-01,1.456234e+00,5.097822e+00,1.000000e+00
1.027569e-01,2.269647e-01,1.455636e+00,5.097822e+00,1.000000e+00
1.052632e-01,1.047052e-01,1.455035e+00,5.097822e+00,1.000000e+00
1.077694e-01,6.962535e-02,1.454432e+00,5.097822e+00,1.000000e+00
1.102757e-01,-1.261198e-01,1.453825e+00,5.097822e+00,1.000000e+00
1.127820e-01,-2.503569e-01,1.453216e+00,5.097822e+00,1.000000e+00
1.152882e-01,-3.435357e-01,1.452603e+00,5.097822e+00,1.000000e+00
1.177945e-01,-4.980054e-01,1.451988e+00,5.097822e+00,1.000000e+00
1.203007e-01,-5.955322e-01,1.451369e+00,5.097822e+00,1.000000e+00
1.228070e-01,-7.572950e-01,1.450748e+00,5.097822e+00,1.000000e+00
1.253133e-01,-9.124804e-01,1.450124e+00,5.097822e+00,1.000000e+00
1.278196e-01,-9.980295e-01,1.449497e+00,5.097822e+00,1.000000e+00
