t,x_obs,y_obs,z_obs,x_pred,y_pred,z_pred,sigma_pred,rho_pred,beta_pred,sigma_true,rho_true,beta_true
0.000000e+00,-8.639971e+00,7.020469e+00,2.587942e+01,-7.999921e+00,6.998545e+00,2.699893e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
3.344482e-03,-6.906226e+00,6.403878e+00,2.540935e+01,-6.840681e+00,6.928134e+00,2.602581e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
6.688963e-03,-5.461685e+00,7.018317e+00,2.445173e+01,-5.350090e+00,6.839915e+00,2.489517e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
1.003344e-02,-4.389888e+00,5.708487e+00,2.315116e+01,-4.058964e+00,6.732533e+00,2.375354e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
1.337793e-02,-2.948153e+00,5.898690e+00,2.324982e+01,-3.090984e+00,6.606632e+00,2.274626e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
1.672241e-02,-2.247190e+00,5.517918e+00,2.310796e+01,-2.269468e+00,6.465993e+00,2.193715e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
2.006689e-02,-1.184505e+00,6.781775e+00,2.120339e+01,-1.491127e+00,6.318283e+00,2.130262e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
2.341137e-02,-1.007910e+00,5.955427e+00,2.132000e+01,-7.585441e-01,6.174848e+00,2.077859e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
2.675585e-02,5.097783e-01,6.152439e+00,1.929274e+01,-1.003622e-01,6.049138e+00,2.030300e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
3.010033e-02,1.180974e+00,5.488908e+00,1.920702e+01,4.757107e-01,5.954117e+00,1.983500e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
3.344481e-02,1.111298e-01,4.792311e+00,1.925102e+01,9.839631e-01,5.899808e+00,1.935854e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
3.678929e-02,1.922980e+00,5.778504e+00,1.895508e+01,1.443977e+00,5.892052e+00,1.887858e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
4.013378e-02,1.730340e+00,5.752358e+00,1.977188e+01,1.868448e+00,5.932803e+00,1.841305e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
4.347826e-02,1.169478e+00,6.298410e+00,1.835924e+01,2.260849e+00,6.021419e+00,1.798293e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
4.682274e-02,3.728238e+00,5.956051e+00,1.787762e+01,2.619346e+00,6.156154e+00,1.760402e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
5.016722e-02,3.533118e+00,5.743565e+00,1.618520e+01,2.942161e+00,6.335275e+00,1.728335e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
5.351171e-02,3.253289e+00,6.735596e+00,1.759179e+01,3.231390e+00,6.557651e+00,1.702006e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
5.685619e-02,3.378651e+00,6.959634e+00,1.702695e+01,3.494467e+00,6.822952e+00,1.680870e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
6.020067e-02,3.951284e+00,6.179972e+00,1.603572e+01,3.743949e+00,7.131522e+00,1.664244e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
6.354515e-02,3.157215e+00,6.908092e+00,1.709836e+01,3.996205e+00,7.484135e+00,1.651539e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
6.688963e-02,4.058006e+00,6.821247e+00,1.612620e+01,4.269172e+00,7.881638e+00,1.642367e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
7.023411e-02,4.728515e+00,8.645370e+00,1.622545e+01,4.578782e+00,8.324570e+00,1.636596e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
7.357859e-02,4.642545e+00,7.865443e+00,1.614997e+01,4.934189e+00,8.812752e+00,1.634350e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
7.692307e-02,5.022454e+00,8.576737e+00,1.585809e+01,5.333626e+00,9.344877e+00,1.636021e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
8.026756e-02,6.866781e+00,9.951303e+00,1.673535e+01,5.764457e+00,9.918105e+00,1.642266e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
8.361203e-02,6.577748e+00,9.605857e+00,1.761668e+01,6.209567e+00,1.052777e+01,1.654018e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
8.695652e-02,6.654952e+00,1.130334e+01,1.648077e+01,6.657157e+00,1.116711e+01,1.672483e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
9.030100e-02,6.485733e+00,1.221390e+01,1.738452e+01,7.106939e+00,1.182727e+01,1.699125e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
9.364548e-02,7.705857e+00,1.282048e+01,1.719895e+01,7.567931e+00,1.249741e+01,1.735602e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
9.698996e-02,8.392560e+00,1.193179e+01,1.834499e+01,8.049891e+00,1.316505e+01,1.783626e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
1.003344e-01,9.072449e+00,1.316962e+01,1.902774e+01,8.556117e+00,1.381659e+01,1.844735e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
1.036789e-01,9.276757e+00,1.374665e+01,1.951118e+01,9.082869e+00,1.443784e+01,1.919955e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
1.070234e-01,9.809755e+00,1.496371e+01,2.033333e+01,9.621573e+00,1.501455e+01,2.009445e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
1.103679e-01,1.094451e+01,1.500260e+01,2.185713e+01,1.015952e+01,1.553273e+01,2.112227e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
1.137124e-01,1.080058e+01,1.685002e+01,2.293779e+01,1.068305e+01,1.597878e+01,2.226223e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
1.170569e-01,1.022755e+01,1.531222e+01,2.342608e+01,1.118393e+01,1.633931e+01,2.348699e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
1.204013e-01,1.199541e+01,1.665918e+01,2.501900e+01,1.166084e+01,1.660079e+01,2.477044e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
1.237458e-01,1.199657e+01,1.735818e+01,2.671540e+01,1.211344e+01,1.674898e+01,2.609528e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
1.270903e-01,1.255397e+01,1.720636e+01,2.748360e+01,1.253575e+01,1.676842e+01,2.745541e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
1.304348e-01,1.247978e+01,1.616967e+01,2.858376e+01,1.291562e+01,1.664209e+01,2.884998e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
1.337793e-01,1.353839e+01,1.690285e+01,3.021542e+01,1.323925e+01,1.635163e+01,3.026984e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
1.371237e-01,1.368172e+01,1.632347e+01,3.190893e+01,1.349624e+01,1.587876e+01,3.168373e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
1.404682e-01,1.246126e+01,1.494337e+01,3.243748e+01,1.368126e+01,1.520879e+01,3.303396e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
1.438127e-01,1.335731e+01,1.393102e+01,3.378272e+01,1.379194e+01,1.433722e+01,3.424808e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
1.471572e-01,1.402174e+01,1.284539e+01,3.585527e+01,1.382474e+01,1.327893e+01,3.526084e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
1.505017e-01,1.327419e+01,1.179621e+01,3.505178e+01,1.377125e+01,1.207514e+01,3.603294e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
1.538461e-01,1.325743e+01,1.058083e+01,3.651302e+01,1.361720e+01,1.078927e+01,3.655639e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
1.571906e-01,1.237429e+01,8.516361e+00,3.627858e+01,1.334717e+01,9.486580e+00,3.684739e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
1.605351e-01,1.298030e+01,9.115948e+00,3.723112e+01,1.295607e+01,8.210411e+00,3.693452e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
1.638796e-01,1.318795e+01,7.289297e+00,3.709029e+01,1.246036e+01,6.978519e+00,3.684876e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
1.672241e-01,1.154336e+01,6.189479e+00,3.514764e+01,1.189386e+01,5.802684e+00,3.661781e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
1.705686e-01,1.069407e+01,6.542566e+00,3.606747e+01,1.128542e+01,4.707299e+00,3.626407e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
1.739130e-01,1.060150e+01,3.909437e+00,3.657454e+01,1.064238e+01,3.727593e+00,3.580486e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
1.772575e-01,9.821927e+00,3.873784e+00,3.517478e+01,9.957967e+00,2.893670e+00,3.525364e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
1.806020e-01,8.447561e+00,2.049756e+00,3.461242e+01,9.231935e+00,2.218112e+00,3.462151e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
1.839465e-01,7.765060e+00,2.420999e+00,3.363659e+01,8.487075e+00,1.694836e+00,3.391869e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
1.872910e-01,7.891056e+00,8.903533e-01,3.360726e+01,7.766953e+00,1.305386e+00,3.315591e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
1.906354e-01,7.227617e+00,1.275973e-01,3.273850e+01,7.108476e+00,1.026277e+00,3.234552e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
1.939799e-01,6.324784e+00,5.561501e-01,3.121976e+01,6.519353e+00,8.341908e-01,3.150213e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
1.973244e-01,7.037904e+00,4.276374e-01,3.057299e+01,5.985906e+00,7.086551e-01,3.064246e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
2.006689e-01,6.411209e+00,1.758774e+00,2.968164e+01,5.492148e+00,6.329441e-01,2.978422e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
2.040134e-01,4.887064e+00,3.143226e-01,2.999052e+01,5.029238e+00,5.940533e-01,2.894420e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
2.073578e-01,4.516599e+00,9.571616e-02,2.859048e+01,4.596395e+00,5.821908e-01,2.813628e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
2.107023e-01,4.460517e+00,4.829827e-01,2.837841e+01,4.198218e+00,5.902028e-01,2.736987e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
2.140468e-01,4.204082e+00,-2.703188e-01,2.608555e+01,3.840753e+00,6.129918e-01,2.664947e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
2.173913e-01,2.748952e+00,-2.048008e-01,2.726571e+01,3.527863e+00,6.470388e-01,2.597487e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
2.207358e-01,2.932047e+00,1.227635e+00,2.539690e+01,3.258353e+00,6.900090e-01,2.534225e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
2.240803e-01,3.342807e+00,4.313994e-01,2.530107e+01,3.024745e+00,7.404557e-01,2.474535e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
2.274247e-01,3.526845e+00,-2.189006e-01,2.396914e+01,2.815319e+00,7.975945e-01,2.417669e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
2.307692e-01,2.494856e+00,9.243168e-01,2.391608e+01,2.618972e+00,8.611491e-01,2.362862e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
2.341137e-01,3.018596e+00,1.136251e+00,2.264988e+01,2.430098e+00,9.312034e-01,2.309407e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
2.374582e-01,2.289372e+00,1.425477e+00,2.154490e+01,2.250575e+00,1.008132e+00,2.256716e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
2.408027e-01,2.401343e+00,9.267046e-01,2.172748e+01,2.087858e+00,1.092521e+00,2.204343e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
2.441471e-01,2.331053e+00,2.177921e+00,2.146654e+01,1.951229e+00,1.185107e+00,2.152009e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
2.474916e-01,1.471718e+00,1.423881e+00,2.089770e+01,1.848772e+00,1.286722e+00,2.099599e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
2.508361e-01,2.450016e+00,1.511715e+00,2.102103e+01,1.785080e+00,1.398245e+00,2.047165e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
2.541806e-01,1.782110e+00,2.252655e+00,1.977309e+01,1.759304e+00,1.520566e+00,1.994911e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
2.575251e-01,1.273272e+00,1.721456e+00,1.797717e+01,1.764966e+00,1.654519e+00,1.943177e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
2.608696e-01,1.849636e+00,2.343700e+00,1.832738e+01,1.792514e+00,1.800858e+00,1.892398e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
2.642140e-01,2.022574e+00,1.782820e+00,1.848078e+01,1.833150e+00,1.960186e+00,1.843051e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
2.675585e-01,2.653030e+00,2.138582e+00,1.813051e+01,1.881517e+00,2.132954e+00,1.795581e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
2.709030e-01,2.651195e+00,3.292897e+00,1.763973e+01,1.935987e+00,2.319422e+00,1.750330e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
2.742475e-01,2.155938e+00,2.811289e+00,1.741055e+01,1.997343e+00,2.519680e+00,1.707489e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
2.775920e-01,1.459385e+00,1.712215e+00,1.612390e+01,2.067286e+00,2.733654e+00,1.667073e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
2.809364e-01,1.984448e+00,2.703261e+00,1.640502e+01,2.147404e+00,2.961201e+00,1.628944e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
2.842809e-01,1.428961e+00,3.108741e+00,1.585073e+01,2.238622e+00,3.202167e+00,1.592836e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
2.876254e-01,2.717775e+00,3.196294e+00,1.553673e+01,2.341044e+00,3.456542e+00,1.558430e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
2.909699e-01,2.760824e+00,4.354655e+00,1.505642e+01,2.454112e+00,3.724568e+00,1.525413e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
2.943144e-01,2.366157e+00,3.886833e+00,1.472521e+01,2.577127e+00,4.006943e+00,1.493555e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
2.976589e-01,2.880340e+00,4.552921e+00,1.517530e+01,2.710037e+00,4.304979e+00,1.462779e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
3.010033e-01,3.414552e+00,5.143033e+00,1.404095e+01,2.854388e+00,4.620754e+00,1.433218e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
3.043478e-01,3.511858e+00,4.791012e+00,1.386697e+01,3.014066e+00,4.957318e+00,1.405243e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
3.076923e-01,3.367405e+00,5.616277e+00,1.429920e+01,3.195198e+00,5.318785e+00,1.379447e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
3.110368e-01,2.595737e+00,5.327983e+00,1.422943e+01,3.404568e+00,5.710447e+00,1.356593e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
3.143813e-01,3.718641e+00,6.765468e+00,1.411982e+01,3.646142e+00,6.138725e+00,1.337515e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
3.177257e-01,4.428248e+00,6.902605e+00,1.318953e+01,3.917116e+00,6.611025e+00,1.323034e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
3.210702e-01,4.187308e+00,7.346868e+00,1.415668e+01,4.207361e+00,7.135321e+00,1.313880e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
3.244147e-01,4.596100e+00,7.372153e+00,1.347471e+01,4.505406e+00,7.719402e+00,1.310676e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
3.277592e-01,5.006223e+00,7.784704e+00,1.305256e+01,4.807735e+00,8.369762e+00,1.313955e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
3.311037e-01,5.472197e+00,9.406319e+00,1.418481e+01,5.123015e+00,9.090014e+00,1.324211e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
3.344481e-01,4.643564e+00,9.966159e+00,1.393181e+01,5.467349e+00,9.879139e+00,1.341961e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
3.377926e-01,6.262074e+00,1.018130e+01,1.332859e+01,5.856003e+00,1.072980e+01,1.367796e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
3.411371e-01,6.250768e+00,1.077440e+01,1.466729e+01,6.299920e+00,1.162743e+01,1.402427e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
3.444816e-01,7.154237e+00,1.151416e+01,1.476508e+01,6.806873e+00,1.255064e+01,1.446710e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
3.478261e-01,8.616241e+00,1.243990e+01,1.513520e+01,7.378284e+00,1.347335e+01,1.501653e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
3.511705e-01,7.895958e+00,1.377911e+01,1.495186e+01,8.002300e+00,1.436784e+01,1.568374e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
3.545150e-01,9.075126e+00,1.465668e+01,1.640128e+01,8.658726e+00,1.520807e+01,1.648035e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
3.578595e-01,1.017918e+01,1.564153e+01,1.656317e+01,9.331823e+00,1.597164e+01,1.741671e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
3.612040e-01,9.737878e+00,1.612869e+01,1.828165e+01,1.000482e+01,1.664096e+01,1.849977e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
3.645485e-01,1.055779e+01,1.580650e+01,1.969248e+01,1.065442e+01,1.720391e+01,1.973024e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
3.678930e-01,1.089676e+01,1.680182e+01,2.203156e+01,1.127647e+01,1.765396e+01,2.109983e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
3.712374e-01,1.153691e+01,1.842250e+01,2.225949e+01,1.187630e+01,1.798888e+01,2.259021e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
3.745819e-01,1.275211e+01,1.910511e+01,2.414905e+01,1.243691e+01,1.820776e+01,2.417503e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
3.779264e-01,1.335201e+01,1.868502e+01,2.649408e+01,1.296676e+01,1.830692e+01,2.582578e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
3.812709e-01,1.453532e+01,1.923412e+01,2.832337e+01,1.348267e+01,1.827580e+01,2.751969e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
3.846154e-01,1.421129e+01,1.807192e+01,2.959047e+01,1.395987e+01,1.809314e+01,2.924379e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
3.879598e-01,1.465760e+01,1.835060e+01,3.051103e+01,1.436999e+01,1.772442e+01,3.098627e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
3.913043e-01,1.489090e+01,1.721168e+01,3.271852e+01,1.469595e+01,1.712300e+01,3.271505e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
3.946488e-01,1.534951e+01,1.568593e+01,3.471038e+01,1.490639e+01,1.623997e+01,3.436010e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
3.979933e-01,1.449253e+01,1.503858e+01,3.588295e+01,1.497372e+01,1.504820e+01,3.582584e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
4.013378e-01,1.506222e+01,1.322026e+01,3.642879e+01,1.489343e+01,1.357545e+01,3.702881e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
4.046823e-01,1.416783e+01,1.152563e+01,3.799628e+01,1.466920e+01,1.191980e+01,3.792545e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
4.080267e-01,1.469278e+01,1.050441e+01,3.862561e+01,1.430922e+01,1.021493e+01,3.851058e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
